Timestamp,Sim Days,Number of Employees,Avg Handle Time,ASR,Avg Customer Interval,Interactions Handled,Utilization
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7/7/2023 14:53:56,0,18,9.6,9.61,0.7,74,0.56
7/7/2023 14:53:56,1,18,9.6,9.6,0.67,151,1.15
7/7/2023 14:53:56,2,18,9.6,9.6,0.63,232,1.77
7/7/2023 14:53:56,3,18,9.6,9.6,0.65,311,2.37
7/7/2023 14:53:56,4,18,9.6,9.6,0.67,388,2.96
7/7/2023 14:53:56,5,18,9.6,9.6,0.68,463,3.53
7/7/2023 14:53:56,6,18,9.6,9.6,0.65,542,4.13
7/7/2023 14:53:56,7,18,9.6,9.6,0.68,617,4.7
7/7/2023 14:53:56,8,18,9.6,9.6,0.62,700,5.33
7/7/2023 14:53:56,9,18,9.6,9.6,0.7,773,5.89
7/7/2023 14:53:56,10,18,9.6,9.6,0.67,850,6.48
7/7/2023 14:53:56,11,18,9.6,9.6,0.68,925,7.05
7/7/2023 14:53:56,12,18,9.6,9.6,0.65,1004,7.65
7/7/2023 14:53:56,13,18,9.6,9.6,0.67,1081,8.24
7/7/2023 14:53:57,14,18,9.6,9.6,0.68,1156,8.81
7/7/2023 14:53:57,15,18,9.6,9.6,0.72,1228,9.36
7/7/2023 14:53:57,16,18,9.6,9.6,0.68,1303,9.93
7/7/2023 14:53:57,17,18,9.6,9.6,0.68,1378,10.5
7/7/2023 14:53:57,18,18,9.6,9.6,0.77,1445,11.01
7/7/2023 14:53:57,19,18,9.6,9.6,0.68,1520,11.58
7/7/2023 14:53:57,20,18,9.6,9.6,0.67,1597,12.17
7/7/2023 14:53:57,21,18,9.6,9.6,0.68,1672,12.74
7/7/2023 14:53:57,22,18,9.6,9.6,0.68,1747,13.31
7/7/2023 14:54:48,0,18,9.65,9.65,0.72,72,0.55
7/7/2023 14:54:48,1,18,9.65,9.65,0.75,141,1.08
7/7/2023 14:54:48,2,18,9.65,9.64,0.73,212,1.62
7/7/2023 14:54:48,3,18,9.65,9.64,0.73,282,2.16
7/7/2023 14:54:48,4,18,9.65,9.64,0.7,355,2.72
